altiveza,  , f ,altivez ,
altor,  , m ,altura ,
altura,  , f ,altor ,
alugábel,  , a ,alugable ,
alugable,  , a ,alugábel ,
alumar,  , t i pr ,alumear ,
alumear,  , t i pr ,alumar ,
alustrar,  , i ,lostregar lustrar2 relustrar ,
alustro,  , m ,apago lóstrego lustro2 relustro ,
alvariza,  , f ,abellariza ,
Am,  , sb ,americio ,
amábel,  , a ,amable ,
amabelmente,  , av ,amablemente ,
amable,  , a ,amábel ,
amablemente,  , av ,amabelmente ,
ámago,  , m ,magolo moguelo2 sámago samo ,
amalló,  , m ,amalloa ,
amalloa,  , f ,amalló ,
amañecer,  , i m ,amencer ,
amañecida,  , f ,amencida ,
amanelado, amanelada , a ,ovellado ,
amaravallar,  , t ,amarfallar amarfañar ,
amarelecer,  , i ,marelecer ,
amarelo,  , a m ,marelo ,
amarfallar,  , t ,amaravallar amarfañar ,
amarfañar,  , t ,amaravallar amarfallar ,
amarrear,  , t pr ,derrear ,
amatista,  , f ,ametista=> ,
amecedalla,  , f ,adialla engadalla ,
ameigar,  , t ,enmeigar ,
amencer,  , i m ,amañecer ,
amencida,  , f ,amañecida ,
ameneiral,  , m ,amieiral abeneiral ,
ameneiro,  , m ,amieiro abeneiro ,
amestrábel,  , a ,amestrable ,
amestrable,  , a ,amestrábel ,
ametrallar,  , t ,metrallar=> ,
amieiral,  , m ,ameneiral abeneiral ,
amieiro,  , m ,ameneiro abeneiro ,
amigábel,  , a ,amigable ,
amigabelmente,  , av ,amigablemente ,
amigable,  , a ,amigábel ,
amigablemente,  , av ,amigabelmente ,
amil-,  , pref ,amilo- ,amidón
amilo-,  , pref ,amil- ,amidón
amin-,  , pref ,amino- ,amina
amino-,  , pref ,amin- ,amina
aminorar,  , t ,minorar=> ,
amistade,  , f ,amizade=> ,
amistar,  , t pr ,amigar=> ,
amistosamente,  , av ,amigablemente=> ,
amistoso, amistosa , a ,amigable=> ,
amocelo,  , m ,anzol ,
amolloar,  , t ,derregar estremar ,
amontear,  , t ,aporcar ,
amora,  , f ,mora1 ,
amordicar,  , t ,amosegar amozcar anozcar ataniscar ,
amornar,  , t i ,mornear1 ,
amorodeira,  , f ,moroteira ,
amorodo,  , m ,amorogo careixón morote ,
amorogo,  , m ,amorodo careixón morote ,
